"id","text","coords","baseline"
"r1l1","","388,2760 413,2762 438,2764 463,2766 488,2764 488,2614 463,2616 438,2614 413,2612 388,2610","388,2710 413,2712 438,2714 463,2716 488,2714"
"r2l1","","412,588 443,584 474,590 506,586 506,514 474,518 443,512 412,516","412,564 443,560 474,566 506,562"
"r2l2","Datum","444,688 470,688 496,692 496,619 470,615 444,615","444,664 470,664 496,668"
"r2l3","","452,793 480,793 508,793 508,718 480,718 452,718","452,768 480,768 508,768"
"r2l4","","426,1321 452,1323 478,1323 504,1323 504,1248 478,1248 452,1248 426,1246","426,1296 452,1298 478,1298 504,1298"
"r2l5","","428,2021 458,2017 489,2017 520,2021 520,1946 489,1942 458,1942 428,1946","428,1996 458,1992 489,1992 520,1996"
"r3l1","","420,3526 446,3526 473,3526 500,3526 500,3387 473,3387 446,3387 420,3387","420,3480 446,3480 473,3480 500,3480"
"r3l2","","454,4000 502,4002 502,3864 454,3862","454,3954 502,3956"
"r3l3","","420,4194 447,4191 474,4188 502,4188 502,4049 474,4049 447,4052 420,4055","420,4148 447,4145 474,4142 502,4142"
"r4l1","","440,4932 472,4933 504,4933 536,4934 536,4784 504,4783 472,4783 440,4782","440,4882 472,4883 504,4883 536,4884"
"r5l1","","1230,561 1256,559 1282,561 1308,563 1334,565 1334,478 1308,476 1282,474 1256,472 1230,474","1230,532 1256,530 1282,532 1308,534 1334,536"
"r5l2","","756,582 783,580 811,580 839,582 867,582 894,581 922,580 950,578 978,576 978,498 950,500 922,502 894,503 867,504 839,504 811,502 783,502 756,504","756,556 783,554 811,554 839,556 867,556 894,555 922,554 950,552 978,550"
"r5l3","","1264,660 1312,666 1312,623 1264,617","1264,646 1312,652"
"r5l4","","824,685 872,685 872,610 824,610","824,660 872,660"
"r5l5","","1206,722 1231,720 1257,720 1283,722 1308,724 1334,726 1360,724 1360,681 1334,683 1308,681 1283,679 1257,677 1231,677 1206,679","1206,708 1231,706 1257,706 1283,708 1308,710 1334,712 1360,710"
"r5l6","","786,793 812,795 838,793 864,791 890,789 916,791 916,697 890,695 864,697 838,699 812,701 786,699","786,762 812,764 838,762 864,760 890,758 916,760"
"r5l7","","1254,788 1290,789 1326,792 1326,744 1290,741 1254,740","1254,772 1290,773 1326,776"
"r5l8","","1256,925 1304,929 1304,835 1256,831","1256,894 1304,898"
"r5l9","","824,925 872,929 872,835 824,831","824,894 872,898"
"r5l10","","496,1145 530,1142 564,1141 598,1139 632,1139 667,1139 701,1139 735,1139 769,1139 803,1139 838,1141 872,1141 906,1142 940,1143 974,1144 1009,1145 1043,1147 1077,1147 1111,1148 1145,1149 1180,1149 1180,1055 1145,1055 1111,1054 1077,1053 1043,1053 1009,1051 974,1050 940,1049 906,1048 872,1047 838,1047 803,1045 769,1045 735,1045 701,1045 667,1045 632,1045 598,1045 564,1047 530,1048 496,1051","496,1114 530,1111 564,1110 598,1108 632,1108 667,1108 701,1108 735,1108 769,1108 803,1108 838,1110 872,1110 906,1111 940,1112 974,1113 1009,1114 1043,1116 1077,1116 1111,1117 1145,1118 1180,1118"
"r5l11","","1220,1155 1245,1155 1270,1155 1295,1155 1320,1155 1346,1155 1346,1061 1320,1061 1295,1061 1270,1061 1245,1061 1220,1061","1220,1124 1245,1124 1270,1124 1295,1124 1320,1124 1346,1124"
"r5l12","","1202,1359 1227,1361 1252,1363 1277,1361 1302,1363 1302,1269 1277,1267 1252,1269 1227,1267 1202,1265","1202,1328 1227,1330 1252,1332 1277,1330 1302,1332"
"r5l13","","616,1559 642,1557 668,1555 694,1555 721,1555 747,1555 773,1555 800,1555 826,1555 852,1555 879,1555 905,1555 931,1555 957,1557 984,1557 1010,1557 1036,1555 1063,1555 1089,1555 1115,1553 1142,1553 1142,1459 1115,1459 1089,1461 1063,1461 1036,1461 1010,1463 984,1463 957,1463 931,1461 905,1461 879,1461 852,1461 826,1461 800,1461 773,1461 747,1461 721,1461 694,1461 668,1461 642,1463 616,1465","616,1528 642,1526 668,1524 694,1524 721,1524 747,1524 773,1524 800,1524 826,1524 852,1524 879,1524 905,1524 931,1524 957,1526 984,1526 1010,1526 1036,1524 1063,1524 1089,1524 1115,1522 1142,1522"
"r5l14","","642,1815 667,1815 693,1817 719,1817 745,1817 771,1818 797,1819 823,1819 849,1819 874,1821 900,1821 926,1821 952,1821 978,1821 1004,1821 1030,1819 1056,1819 1082,1819 1082,1725 1056,1725 1030,1725 1004,1727 978,1727 952,1727 926,1727 900,1727 874,1727 849,1725 823,1725 797,1725 771,1724 745,1723 719,1723 693,1723 667,1721 642,1721","642,1784 667,1784 693,1786 719,1786 745,1786 771,1787 797,1788 823,1788 849,1788 874,1790 900,1790 926,1790 952,1790 978,1790 1004,1790 1030,1788 1056,1788 1082,1788"
"r5l15","","1180,2029 1207,2029 1234,2031 1262,2029 1289,2029 1316,2029 1344,2029 1344,1935 1316,1935 1289,1935 1262,1935 1234,1937 1207,1935 1180,1935","1180,1998 1207,1998 1234,2000 1262,1998 1289,1998 1316,1998 1344,1998"
"r5l16","","574,2265 605,2267 637,2267 668,2267 700,2267 732,2267 763,2267 795,2266 826,2265 858,2265 890,2264 921,2263 953,2263 984,2263 1016,2263 1048,2263 1079,2264 1111,2266 1142,2267 1174,2268 1206,2271 1206,2177 1174,2174 1142,2173 1111,2172 1079,2170 1048,2169 1016,2169 984,2169 953,2169 921,2169 890,2170 858,2171 826,2171 795,2172 763,2173 732,2173 700,2173 668,2173 637,2173 605,2173 574,2171","574,2234 605,2236 637,2236 668,2236 700,2236 732,2236 763,2236 795,2235 826,2234 858,2234 890,2233 921,2232 953,2232 984,2232 1016,2232 1048,2232 1079,2233 1111,2235 1142,2236 1174,2237 1206,2240"
"r5l17","","1328,2521 1356,2521 1356,2427 1328,2427","1328,2490 1356,2490"
"r5l18","","588,2615 613,2617 639,2619 664,2619 690,2619 716,2619 741,2619 767,2619 792,2619 818,2619 844,2619 869,2619 895,2617 920,2617 946,2617 972,2617 997,2617 1023,2617 1048,2617 1074,2619 1100,2619 1100,2525 1074,2525 1048,2523 1023,2523 997,2523 972,2523 946,2523 920,2523 895,2523 869,2525 844,2525 818,2525 792,2525 767,2525 741,2525 716,2525 690,2525 664,2525 639,2525 613,2523 588,2521","588,2584 613,2586 639,2588 664,2588 690,2588 716,2588 741,2588 767,2588 792,2588 818,2588 844,2588 869,2588 895,2586 920,2586 946,2586 972,2586 997,2586 1023,2586 1048,2586 1074,2588 1100,2588"
"r5l19","","1210,2643 1236,2645 1263,2647 1290,2649 1317,2651 1344,2653 1344,2559 1317,2557 1290,2555 1263,2553 1236,2551 1210,2549","1210,2612 1236,2614 1263,2616 1290,2618 1317,2620 1344,2622"
"r5l20","","1200,2829 1226,2836 1253,2839 1280,2841 1306,2843 1333,2843 1360,2841 1360,2747 1333,2749 1306,2749 1280,2747 1253,2745 1226,2742 1200,2735","1200,2798 1226,2805 1253,2808 1280,2810 1306,2812 1333,2812 1360,2810"
"r5l21","","486,2923 518,2920 551,2919 584,2916 617,2914 650,2912 683,2910 716,2908 749,2907 782,2905 815,2905 847,2903 880,2903 913,2903 946,2903 979,2903 1012,2903 1045,2903 1078,2904 1111,2905 1144,2907 1144,2813 1111,2811 1078,2810 1045,2809 1012,2809 979,2809 946,2809 913,2809 880,2809 847,2809 815,2811 782,2811 749,2813 716,2814 683,2816 650,2818 617,2820 584,2822 551,2825 518,2826 486,2829","486,2892 518,2889 551,2888 584,2885 617,2883 650,2881 683,2879 716,2877 749,2876 782,2874 815,2874 847,2872 880,2872 913,2872 946,2872 979,2872 1012,2872 1045,2872 1078,2873 1111,2874 1144,2876"
"r5l22","","574,3291 600,3291 626,3291 652,3291 678,3291 705,3291 731,3291 757,3291 783,3291 810,3291 836,3291 862,3291 888,3291 914,3291 941,3291 967,3291 993,3291 1019,3291 1046,3291 1046,3197 1019,3197 993,3197 967,3197 941,3197 914,3197 888,3197 862,3197 836,3197 810,3197 783,3197 757,3197 731,3197 705,3197 678,3197 652,3197 626,3197 600,3197 574,3197","574,3260 600,3260 626,3260 652,3260 678,3260 705,3260 731,3260 757,3260 783,3260 810,3260 836,3260 862,3260 888,3260 914,3260 941,3260 967,3260 993,3260 1019,3260 1046,3260"
"r5l23","","554,3457 581,3457 608,3457 635,3457 662,3456 689,3455 716,3455 743,3454 770,3453 797,3453 824,3453 851,3451 878,3451 905,3449 932,3449 959,3447 986,3447 1013,3446 1040,3444 1067,3443 1094,3443 1094,3349 1067,3349 1040,3350 1013,3352 986,3353 959,3353 932,3355 905,3355 878,3357 851,3357 824,3359 797,3359 770,3359 743,3360 716,3361 689,3361 662,3362 635,3363 608,3363 581,3363 554,3363","554,3426 581,3426 608,3426 635,3426 662,3425 689,3424 716,3424 743,3423 770,3422 797,3422 824,3422 851,3420 878,3420 905,3418 932,3418 959,3416 986,3416 1013,3415 1040,3413 1067,3412 1094,3412"
"r5l24","","1152,3507 1177,3501 1203,3499 1229,3499 1254,3499 1280,3501 1306,3501 1332,3503 1332,3409 1306,3407 1280,3407 1254,3405 1229,3405 1203,3405 1177,3407 1152,3413","1152,3476 1177,3470 1203,3468 1229,3468 1254,3468 1280,3470 1306,3470 1332,3472"
"r5l25","","596,3681 621,3685 647,3689 673,3691 699,3694 725,3696 751,3698 777,3699 803,3701 829,3701 855,3703 880,3704 906,3705 932,3705 958,3705 984,3705 1010,3705 1036,3705 1062,3706 1088,3707 1114,3707 1114,3613 1088,3613 1062,3612 1036,3611 1010,3611 984,3611 958,3611 932,3611 906,3611 880,3610 855,3609 829,3607 803,3607 777,3605 751,3604 725,3602 699,3600 673,3597 647,3595 621,3591 596,3587","596,3650 621,3654 647,3658 673,3660 699,3663 725,3665 751,3667 777,3668 803,3670 829,3670 855,3672 880,3673 906,3674 932,3674 958,3674 984,3674 1010,3674 1036,3674 1062,3675 1088,3676 1114,3676"
"r5l26","","1272,3967 1296,3971 1296,3877 1272,3873","1272,3936 1296,3940"
"r5l27","","540,3981 571,3981 602,3983 633,3983 664,3983 695,3984 726,3985 757,3984 788,3983 819,3983 851,3983 882,3983 913,3983 944,3983 975,3983 1006,3983 1037,3983 1068,3983 1099,3985 1130,3985 1162,3987 1162,3893 1130,3891 1099,3891 1068,3889 1037,3889 1006,3889 975,3889 944,3889 913,3889 882,3889 851,3889 819,3889 788,3889 757,3890 726,3891 695,3890 664,3889 633,3889 602,3889 571,3887 540,3887","540,3950 571,3950 602,3952 633,3952 664,3952 695,3953 726,3954 757,3953 788,3952 819,3952 851,3952 882,3952 913,3952 944,3952 975,3952 1006,3952 1037,3952 1068,3952 1099,3954 1130,3954 1162,3956"
"r5l28","","1184,4163 1211,4163 1238,4163 1266,4163 1293,4163 1321,4163 1348,4163 1376,4163 1376,4069 1348,4069 1321,4069 1293,4069 1266,4069 1238,4069 1211,4069 1184,4069","1184,4132 1211,4132 1238,4132 1266,4132 1293,4132 1321,4132 1348,4132 1376,4132"
